SHAPECLASS cs567.smoke.RigidEllipse2
NSHAPES 40
N_SAMPLES_PER_SHAPE 10
DENSITY 10.0

i j majorAxis minorAxis AvgVel TermVel MaxDispX FinalDispX
0 0 5.91008846487471 1.935167113192459 70.79651275645841 0.7375196388677515 0.04096852210283686 -0.014508493666447464
0 1 5.91008846487471 1.935167113192459 67.51059932339372 0.663231085214915 8.034465790729705 -4.345227374304777
0 2 5.91008846487471 1.935167113192459 65.57382021310337 0.6367494652681683 11.917987791397536 -3.9860233968003413
0 3 5.91008846487471 1.935167113192459 64.777377206375 0.6347868598615385 14.954975157721456 -6.477087301557098
0 4 5.91008846487471 1.935167113192459 67.79666112713478 0.9104177567037932 18.738462896788114 -12.345577234804303
0 5 5.91008846487471 1.935167113192459 111.11118948023636 1.955883886008783 0.059264230769194626 0.059264230769194626
0 6 5.91008846487471 1.935167113192459 68.08515749892433 0.9104174590937875 18.79034073126715 12.514743161175922
0 7 5.91008846487471 1.935167113192459 64.777377206375 0.6223712506626429 14.949281902307845 6.645643070760563
0 8 5.91008846487471 1.935167113192459 65.30617201942734 0.6366051383491267 11.845470056293067 4.077161086980809
0 9 5.91008846487471 1.935167113192459 67.51059932339372 0.6647812165938419 8.181435285243502 4.142557767371784
1 0 5.96277993409883 2.514729560538264 82.0513452534156 1.0163473358165538 0.07863008061399768 -0.07863008061399768
1 1 5.96277993409883 2.514729560538264 77.29474189903185 0.9251885042389114 9.839459208145236 -8.713508821279731
1 2 5.96277993409883 2.514729560538264 74.76640978345783 0.8586824443765579 13.350059134573542 -7.371041558834229
1 3 5.96277993409883 2.514729560538264 74.07412836421555 0.8444044857004235 16.95975725733905 -10.043801995835985
1 4 5.96277993409883 2.514729560538264 75.82943906621205 0.9817176423481635 19.772191825321343 -14.748548072155025
1 5 5.96277993409883 2.514729560538264 103.89617885183877 1.754016092077691 1.5438050399896355 1.5438050399896355
1 6 5.96277993409883 2.514729560538264 75.82943906621205 0.9817182118366394 19.784266670317365 14.691417022108169
1 7 5.96277993409883 2.514729560538264 74.07412836421555 0.8590639804799474 17.09359972232815 9.795140625216618
1 8 5.96277993409883 2.514729560538264 74.76640978345783 0.8549883334423877 13.30578806566556 7.238735591258894
